,code,desc,quantity_a,quantity_desc_a,value_a,quantity_b,quantity_desc_b,value_b,value_diff,quantity_diff,quantity_pct,value_pct,value_diff_abs,value_pct_abs
0602,0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",5617,No Quantity,0.11,7308,Weight in kilograms,0.1,0.009999999999999995,-1691,-30.10503827666014,9.090909090909086,0.009999999999999995,9.090909090909086
2518,2518,"Dolomite, whether or not calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape; dolomite ramming mix",4908,No Quantity,0.0,0,No Quantity,0.0,0.0,4908,100.0,,0.0,
2804,2804,"Hydrogen, rare gases and other non-metals",3665630,No Quantity,3.42,252996,No Quantity,2.92,0.5,3412634,93.09815775187349,14.619883040935672,0.5,14.619883040935672
3701,3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs",269179,No Quantity,2.01,485730,No Quantity,1.79,0.21999999999999975,-216551,-80.44869770673047,10.945273631840784,0.21999999999999975,10.945273631840784
3702,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed",36142,No Quantity,0.43,49200,No Quantity,0.4,0.02999999999999997,-13058,-36.1297105860218,6.9767441860465045,0.02999999999999997,6.9767441860465045
4012,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",492,No Quantity,0.0,1568,Weight in kilograms,0.01,-0.01,-1076,-218.6991869918699,-inf,0.01,inf
4202,4202,"Trunks; suit, camera, jewellery, cutlery cases; travel, tool, similar bags; wholly or mainly covered by leather, composition leather, plastic sheeting, textile materials, vulcanised fibre, paperboard",16217,No Quantity,0.25,14844,No Quantity,0.78,-0.53,1373,8.466424122834063,-212.0,0.53,212.0
4412,4412,"Plywood, veneered panels and similar laminated wood",109037,No Quantity,0.15,4330,Weight in kilograms,0.0,0.15,104707,96.02887093371974,100.0,0.15,100.0
6117,6117,"Clothing accessories; made up, knitted or crocheted, knitted or crocheted parts of garments or of clothing accessories",5851,No Quantity,0.07,1207,Weight in kilograms,0.02,0.05,4644,79.37104768415657,71.42857142857143,0.05,71.42857142857143
6301,6301,Blankets and travelling rugs,1338,No Quantity,0.01,472,No Quantity,0.01,0.0,866,64.72346786248131,0.0,0.0,0.0
