,code,desc,quantity_a,quantity_desc_a,value_a,quantity_b,quantity_desc_b,value_b,value_diff,quantity_diff,quantity_pct,value_pct,value_diff_abs,value_pct_abs
2804,2804,"Hydrogen, rare gases and other non-metals",296322,No Quantity,3.12,133373,Weight in kilograms,2.6,0.52,162949,54.990517072643954,16.666666666666664,0.52,16.666666666666664
3701,3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs",1614971,No Quantity,37.27,2512190,No Quantity,36.92,0.3500000000000014,-897219,-55.55635364350196,0.9390931043734945,0.3500000000000014,0.9390931043734945
3702,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed",78828,No Quantity,3.16,119366,Area in square metres,4.33,-1.17,-40538,-51.425889277921556,-37.0253164556962,1.17,37.0253164556962
4202,4202,"Trunks; suit, camera, jewellery, cutlery cases; travel, tool, similar bags; wholly or mainly covered by leather, composition leather, plastic sheeting, textile materials, vulcanised fibre, paperboard",15368,No Quantity,0.25,416,No Quantity,0.03,0.22,14952,97.29307652264445,88.0,0.22,88.0
4412,4412,"Plywood, veneered panels and similar laminated wood",161975,No Quantity,0.17,67159,No Quantity,0.04,0.13,94816,58.53742861552709,76.47058823529412,0.13,76.47058823529412
6117,6117,"Clothing accessories; made up, knitted or crocheted, knitted or crocheted parts of garments or of clothing accessories",121,No Quantity,0.0,0,No Quantity,0.0,0.0,121,100.0,,0.0,
6210,6210,"Garments made up of fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)",103,No Quantity,0.0,0,No Quantity,0.0,0.0,103,100.0,,0.0,
6211,6211,"Track suits, swimwear and other garments (not knitted or crocheted)",126,No Quantity,0.0,135,Weight in kilograms,0.01,-0.01,-9,-7.142857142857142,-inf,0.01,inf
6301,6301,Blankets and travelling rugs,2827,No Quantity,0.02,0,No Quantity,0.0,0.02,2827,100.0,100.0,0.02,100.0
6506,6506,"Headgear; n.e.c. in chapter 65, whether or not lined or trimmed",847,No Quantity,0.02,20,Number of items,0.0,0.02,827,97.63872491145219,100.0,0.02,100.0
7007,7007,"Safety glass, consisting of toughened (tempered) or laminated glass",18811,No Quantity,0.13,5153,No Quantity,0.08,0.05,13658,72.60645367072458,38.46153846153847,0.05,38.46153846153847
